time,/Bed-1.In.MoleFlow,/Bed-1.In.P,/Bed-1.In.MoleFlows.HYDROGEN_SULFIDE,/Bed-1.Out.T,/Bed-1.Out.MoleFlow,/Bed-2.In.MoleFlow,/Bed-2.In.MoleFlows.HYDROGEN_SULFIDE,/CRF1.In.MoleFlow,/CRF1.In.T,/CRF1.In.P,/Tail_Gas.In.MoleFlow,/Sep1.In.P,/Sep2.In.P,/Sep3.In.P,/Tail_Gas.In.T
s,kmol/h,kPa,kmol/h,C,kmol/h,kmol/h,kmol/h,kmol/h,C,kPa,kmol/h,kPa,kPa,kPa,C
90,2116.070497,291.0710808,198.481921,410.1395267,2079.554085,2041.242036,236.6295563,2031.989035,33.94753748,296.5957719,2024.454957,350.0415272,319.9458274,296.5957719,159
91,2118.243212,291.2871766,198.685716,410.1395267,2081.611749,2042.18279,236.7386125,2027.243274,33.95184661,296.7836156,2025.236834,350.0325338,319.9472713,296.7836156,159
92,2119.682601,291.4696322,198.820727,410.1395267,2083.06417,2043.359915,236.87507,2024.467747,33.97591424,296.9544043,2026.374688,350.0713846,319.9978164,296.9544043,159
93,2120.787113,291.6249053,198.9243274,410.1395267,2084.197317,2044.49942,237.0071663,2022.844683,33.99932823,297.1046294,2027.51673,350.1369348,320.0761562,297.1046294,159
94,2121.62426,291.7121046,198.9507037,410.1573684,2084.94529,2045.383065,237.0444151,2023.051339,34.01606876,297.1895255,2028.403638,350.2047279,320.1544743,297.1895255,159
95,2121.800191,291.7618733,198.9672013,410.1573684,2085.18614,2045.940997,237.1090752,2023.612766,34.02533361,297.2442538,2029.037488,350.268405,320.2239601,297.2442538,159
96,2121.608798,291.7610934,198.9492538,410.1573684,2085.064607,2046.143757,237.1325736,2024.825073,34.02910824,297.2533053,2029.283587,350.3154256,320.2740141,297.2533053,159
97,2120.043356,291.6105793,198.8024578,410.1573684,2083.686319,2045.498252,237.0577644,2028.078724,34.02734358,297.1313436,2028.727942,350.314272,320.2726166,297.1313436,159
98,2091.299559,289.0724593,196.1539643,410.1440582,2059.839197,2035.574439,235.9584287,2073.100509,33.98215918,295.1760454,2020.452546,349.9554749,319.9063351,295.1760454,159
99,2061.313321,285.3932456,193.3413976,410.1440582,2029.781543,2011.91245,233.2155932,2118.135418,33.79798958,291.7224277,1997.658703,348.8902197,318.4955358,291.7224277,159
